Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
DC205,PhysicalEducationwithBiology,565,NaN,531,,490,False,False,False
DC206,PhysicalEducationwithMathematics,521,NaN,499,,443,False,False,False
DC207,PsychologyandMathematics,521,NaN,,,,False,,False
DC208,Psychology,565,NaN,532,521,509,False,False,False
DC209,HealthandSociety,477,NaN,465,440,419,False,False,False
DC210,PsychologyandDisruptiveTechnologies,506,NaN,,,,False,,False
DC215,GeneralNursing,456,NaN,454,433,414,False,False,False
DC216,MentalHealthNursing,420,NaN,418,403,368,False,False,False
DC217,IntellectualDisabilityNursing,382,NaN,370,,347,False,False,False
DC218,Children`sandGeneralNursing(Integrated),521,NaN,500,498,467,False,False,False
DC230,EconomicsPoliticsandLaw,431,NaN,435,,400,False,False,False
DC231,InternationalRelations,398,NaN,397,,387,False,False,False
DC232,LawandSociety(BCL),469,NaN,466,,453,False,False,False
DC235,EducationandTraining-DaytimeandFlexibleDeli,302,NaN,309,,307,False,False,False
DC238,SocialSciencesandCulturalInnovation,387,NaN,377,,358,False,False,False
DC240,MarketingInnovationandTechnology,499,NaN,476,474,451,False,False,False
DC241,DigitalBusinessandInnovation,509,NaN,,,,False,,False
DC291,Arts(JointHonours)-MediaStudies,350,NaN,376,,349,False,False,False
DC292,Arts(JointHonours)-Law,400,NaN,403,,356,False,False,False
DC293,Arts(JointHonours)-InternationalLanguages,379,NaN,377,,369,False,False,False
DC294,ClimateandEnvironmentalSustainability,475,NaN,,,,False,,False
DC295,Arts(JointHonours)-Politics,349,NaN,376,,348,False,False,False
DL822,ArtsManagement,254,NaN,229,229,209,False,False,False
DL823,BusinessManagement,220,NaN,235,,260,False,False,False
DL825,AppliedPsychology,418,413,379,,349,False,False,False
DL826,GraphicDesign,591,NaN,855,,736,True,True,True
DL827,Art,574,NaN,572,,583,True,True,True
DL832,Animation,989,NaN,920,,855,True,True,True
DL833,PhotographyandVisualMedia,671,671,650,,636,True,True,True
DL836,CreativeComputing,235,NaN,219,,217,False,False,False
DL837,NewMediaStudies,298,293,201,,290,False,False,False
DL838,CreativeMusicProduction,713,NaN,754,,746,True,True,True
DL839,InteractionandUserExperienceDesign,757,NaN,683,683,,True,True,False
DL840,DigitalMarketing,210,NaN,228,228,,False,False,False
